"filename", "language", "TypeScript React", "TypeScript", "JSON", "XML", "SCSS", "CSS", "comment", "blank", "total"
"/Users/faraj_shuaib/projects/sahaba/front/src/services/networks.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 1, 25
"/Users/faraj_shuaib/projects/sahaba/front/src/services/validations.ts", "TypeScript", 0, 129, 0, 0, 0, 0, 0, 9, 138
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Alert/Alert.tsx", "TypeScript React", 41, 0, 0, 0, 0, 0, 1, 4, 46
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Avatar/Avatar.tsx", "TypeScript React", 54, 0, 0, 0, 0, 0, 0, 5, 59
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Badge/Badge.tsx", "TypeScript React", 76, 0, 0, 0, 0, 0, 0, 5, 81
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Button/Button.tsx", "TypeScript React", 82, 0, 0, 0, 0, 0, 2, 7, 91
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Button/ButtonCircle.tsx", "TypeScript React", 22, 0, 0, 0, 0, 0, 0, 7, 29
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Button/ButtonPrimary.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Button/ButtonSecondary.tsx", "TypeScript React", 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Button/ButtonThird.tsx", "TypeScript React", 10, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/ButtonClose/ButtonClose.tsx", "TypeScript React", 25, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Checkbox/Checkbox.tsx", "TypeScript React", 50, 0, 0, 0, 0, 0, 0, 4, 54
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Comment/Comment.tsx", "TypeScript React", 59, 0, 0, 0, 0, 0, 0, 4, 63
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Footer/Footer.tsx", "TypeScript React", 87, 0, 0, 0, 0, 0, 0, 9, 96
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Heading/Heading.tsx", "TypeScript React", 43, 0, 0, 0, 0, 0, 0, 4, 47
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Input/Input.tsx", "TypeScript React", 30, 0, 0, 0, 0, 0, 0, 4, 34
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Logo/Logo.tsx", "TypeScript React", 39, 0, 0, 0, 0, 0, 2, 4, 45
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Logo/LogoSvg.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Logo/LogoSvgLight.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/MenuBar/MenuBar.tsx", "TypeScript React", 73, 0, 0, 0, 0, 0, 0, 9, 82
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Nav/Nav.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/NavItem/NavItem.tsx", "TypeScript React", 37, 0, 0, 0, 0, 0, 0, 4, 41
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Navigation/NavMobile.tsx", "TypeScript React", 175, 0, 0, 0, 0, 0, 0, 9, 184
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Navigation/Navigation.tsx", "TypeScript React", 33, 0, 0, 0, 0, 0, 0, 6, 39
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/Navigation/NavigationItem.tsx", "TypeScript React", 53, 0, 0, 0, 0, 0, 2, 7, 62
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/NcDropDown/NcDropDown.tsx", "TypeScript React", 105, 0, 0, 0, 0, 0, 0, 5, 110
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/NcImage/NcImage.tsx", "TypeScript React", 81, 0, 0, 0, 0, 0, 1, 11, 93
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/NcImage/PlaceIcon.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/NcImage/placecImageIcon.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 1, 7
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/NcLink/NcLink.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/faraj_shuaib/projects/sahaba/front/src/shared/NcModal/NcModal.tsx", "TypeScript React", 106, 0, 0, 0, 0, 0, 1, 10, 117
